Global tunables. Keys are read by name — renaming one breaks whatever reads it.,,,,,
key,value,description,,,
lineAlertMs,110,Length of one of those flashes.,,,
unsheathMs,340,How long one interface element takes to draw itself into place.,,,
unsheathGapMs,110,"Gap before the next element starts — smaller than unsheathMs, so they overlap.",,,
longPressMs,420,How long an ability must be held before its tooltip opens.,,,
swipeMinPx,36,How far a pointer must travel across the panel to count as a page swipe.,,,
tagGrowth,0.85,How much an accumulating tag grows once it holds a full max-MS worth of change.,,,
tagBreathSlowMs,1700,Breathing period of an accumulating tag holding almost nothing.,,,
tagBreathFastMs,380,Breathing period of a tag holding a full max-MS worth — it flashes far harder.,,,
gaugeW,134,"Gauge canvas width in logical pixels. Lower = chunkier pixels, coarser value steps.",,,
gaugeH,22,Gauge canvas height in logical pixels — tall enough for the end caps.,,,
barCoreH,12,"Height of the bar's interior, before the wave, in logical pixels.",,,
barWaveAmp,1.4,Wave amplitude on the bar's silhouette (reference: 9.8 of a 1026-long bar).,,,
barWaveHalf,5.6,"Half-period of the silhouette wave, i.e. one arc (reference: 43.3).",,,
barWaveSpeed,0.1,How fast the silhouette wave travels.,,,
ecBandFrac,0.82,Charge fill height as a fraction of the bar interior (reference: 76 of 92.74).,,,
ecWaveAmp,0.7,"Amplitude of the charge fill's own wave — long and shallow, per the reference.",,,
ecWaveHalf,19,Half-period of the charge fill's wave. Much longer than the silhouette's.,,,
ecWaveSpeed,0.05,How fast the charge wave travels.,,,
ecInnerFrac,0.5,"Inner charge bar thickness, as a fraction of the outer one. Same shape, dodged over it.",,,
ecInnerAmt,0.4,How hard the inner charge bar dodges. 1 blows out to white; lower keeps the hue.,,,
arcSpacing,3.1,Spacing of the background arc texture (reference: 23.83).,,,
arcRadius,12.6,Radius of the background arcs (reference: 96.95).,,,
arcAlpha,0.11,How strongly the arcs show. They only read against the unlit stretch.,,,
capW,5,End-cap width in logical pixels.,,,
capR,2,End-cap corner rounding in logical pixels.,,,
ballFlyMs,330,How long a ball of light takes to arc from its indicator into the bar.,,,
settleStepMs,70,Pause between one hit landing on a bar and the next setting off.,,,
fnumMinPx,20,Smallest a floating damage number gets.,,,
fnumMaxPx,62,Largest — reached when one hit costs a whole stamina bar.,,,
fnumRisePx,34,How far a floating number travels up before it settles.,,,
fnumInMs,600,Fade in while rising.,,,
fnumHoldMs,600,Easing to a stop.,,,
fnumOutMs,400,Fade out.,,,
fnumLingerMs,300,Extra time a floating number holds before it goes.,,,
hitShards,3,Shapes thrown off where an attack lands.,,,
hitShardMs,260,How long one of those shapes flashes.,,,
actionLineMs,620,Buff / debuff streaks over the target.,,,
statusFxMs,1000,Distortion and bloom when a status takes hold.,,,
backdropGlow,0.55,How strongly the enemy's emotion tints the battle backdrop.,,,
barTweenMs,1000,How long a bar takes to travel to its new value once a hit lands.,,,
overloadHoldMs,2000,How long the OVERLOAD tag and its slow motion last.,,,
ecScrollSpeed,0.0044,How fast the charge gradient drifts along the bar.,,,
themeOpening,audio/theme-opening.wav,Theme part 1: plays once.,,,
themeLoop,audio/theme-loop.wav,"Theme part 2: loops for ever, scheduled to start the instant part 1 ends.",,,
musicFadeMs,900,How quickly the theme fades out when the battle ends.,,,
musicVolume,1.6,"Theme level, and ABOVE 1 on purpose: this is a gain, not a percentage. The battle theme is mastered about 10 dB quieter than the map's two, so it needs lifting to sit level with them - measured busy RMS -20.1 dBFS against -9.2 and -10.6, all three now landing at -16.0. Its peak is -5.2 dBFS, so 1.6x leaves headroom and cannot clip. Lower this if the sound effects are getting buried.",,,
sfxVolume,1.05,"Sound-effect level, mixed against musicVolume.",,,
layerEase,0.16,How fast layers slide to their new slot. Higher = snappier.,,,
layerWaveDelay,0.85,"Phase offset per slot, so breathing travels outward in waves.",,,
layerInnerShrink,0.85,Curve of the radius falloff toward the centre.,,,
layerFill,0.42,Ring thickness as a fraction of the gap to the next slot.,,,
layerOuterThick,2,Thickness multiplier for the outermost (active) layer.,,,
layerInnerThick,0.9,Thickness multiplier for every layer behind it.,,,
layerFlashMs,50,How long a struck layer flashes white before vanishing.,,,
layerGapMs,18,Beat between the layer vanishing and it regrowing at the back.,,,
layerRegrowMs,380,How long the regrow beat holds before resolution continues.,,,
enemyRingBaseR,28,"Enemy: radius of the outermost ring, in logical canvas pixels.",,,
enemyShapeWeak,TRIANGLE,Battle silhouette for a WEAK enemy: its layer rings are concentric TRIANGLES.,,,
enemyShapeRegular,CIRCLE,"Battle silhouette for a REGULAR enemy. The original, and still the default for any tier the sheet does not name.",,,
enemyShapeStrong,STAR,Battle silhouette for a STRONG enemy: concentric stars of enemyStarPoints points.,,,
enemyStarPoints,7,Points on a STRONG enemy's star.,,,
enemyStarInner,0.62,"A star's valley radius as a fraction of its point radius. LOWER = narrower, sharper points; HIGHER = a blunter, rounder star. Below about 0.45 the thin inner rings start breaking up at this canvas size.",,,
enemyShapeFill,1.6,"Band thickness multiplier for a SHAPED enemy only (triangle or star), on top of layerFill. A shape squeezes every band's pixel thickness by how narrow it is at that angle, and at the default the thin inner rings fell under one pixel and broke into dashes. THERE IS A CEILING AS WELL AS A FLOOR: at 2.0 the gaps between bands drop under a pixel and the rings merge into one solid shape, which is a filled triangle rather than concentric ones. Circles are not affected.",,,
enemyShapeBreathe,0.6,"How much of the usual ring breathing a SHAPED enemy does. Full amplitude closes the gap between two neighbouring bands, and with the thicker bands above that swallows one of them. Together with enemyShapeFill this is what keeps every ring continuous at every angle - see tools/check_rings.js.",,,
enemyTriRound,0.72,"How far a WEAK enemy's triangle goes toward a TRUE triangle: 1 is sharp corners, 0 is a circle. It is not there to soften the look - a true triangle squeezes the thin inner rings under one pixel near the flat sides and they disappear.",,,
enemyShapeSpin,0.018,Radians per frame a triangle or a star turns. A polygon that never moves reads as a logo; a slow turn reads as a creature. 0 stops it.,,,
enemyRingScaleWeak,0.85,"Overall size of a WEAK enemy in battle, against a REGULAR one.",,,
enemyRingScaleStrong,1.05,Overall size of a STRONG enemy in battle. Do not raise much: the canvas is 64px and the rings breathe outward past this.,,,
rideScaleWeak,0.78,"How big a WEAK enemy is during a ride, against its element row's own size. Do not go much lower: below about nine pixels across, three points stop reading as a triangle and it is just a small blob.",,,
rideScaleStrong,1.55,How big a STRONG enemy is during a ride. Size is the tier cue that survives being glanced at; the silhouette is the one that survives being looked at.,,,
enemyRingSpacing,4.7,Enemy: radius step between one layer and the next in. baseR/spacing sets how many fit.,,,
enemyRingBreathe,1.6,Enemy ring breathing amplitude.,,,
playerRingBaseR,300,Player: radius of the outermost ring. Huge on purpose — a big circle reads as a nearly flat band.,,,
playerRingSpacing,5,"Player: radius step between layers. Small, so all six sit in a thin arc despite the huge radius.",,,
playerRingBreathe,2.2,Player ring breathing amplitude.,,,
playerCanvasW,120,Player ring canvas width in logical pixels (wide and short).,,,
playerCanvasH,32,Player ring canvas height in logical pixels.,,,
playerRingCy,300,"Player: circle centre Y, pushed far below the strip so only the flat top of the arc shows.",,,
crusherSteps,12,"Audio bit-crusher quantisation. Low = Atari harsh, high = SNES-clean.",,,
travelRollSecs,3,Legacy fixed roll interval. rollMinSecs/rollMaxSecs supersede it.,,,
travelTarget,10,Legacy fixed segment target. segBase x diltransience supersedes it.,,,
travelTapR,15,"FLOOR for how near a tap must land on a travel element, in art pixels. The real reach is the element's own size scaled up; this is the minimum.",,,
segBase,5,"Track Segments to bridge a link, before diltransience and world state.",,,
rollMinSecs,1,Fastest the track event roll can come round (navigation GDD 4: every 1-3s).,,,
rollMaxSecs,3,Slowest the track event roll can come round. Enemy density moves it.,,,
aggroLockSecs,5,Default countdown before an aggro enemy forces the encounter.,,,
travelMaxLive,5,"How many elements may be out at once, ALL KINDS TOGETHER. No roll happens while the board is full, so it has to clear before anything new appears.",,,
tripFillMs,520,How long the Emotional Trip bar takes to ease across to a newly collected segment.,,,
tripFlashMs,260,How long the bar flashes white when a segment lands in it.,,,
departSecs,3,How long the camera spends zooming into the departure station before the wipe opens.,,,
leanEaseMs,520,"How long the map takes to tilt into, and back out of, the focused-station lean.",,,
leanDeg,20,How far the map tilts when a destination is being considered.,,,
camEaseMs,620,How long the camera takes to travel to a station the player has just picked.,,,
orbMsPct,0.18,"How much of MaxMS one Stamina Orb gives back. Orbs only matter mid-ride, which is the only time MS moves.",,,
encounterWashSecs,1.1,How long the travel screen floods with the enemy's colour before the wipe onto the fight.,,,
battleWipeMs,820,The circular wipe that opens onto the battle.,,,
battleFadeMs,620,The fade to white that unloads the battle and gives the ride back.,,,
musicCutMs,120,The ultra-quick fade that kills the battle theme the moment an enemy falls.,,,
enterWipeMs,1100,The circular wipe that opens the map when arriving from the title screen.,,,
exitKeepPct,0.6,Crystals kept when EXITING at an intermediate platform.,,,
defeatKeepPct,0.1,Crystals kept on defeat.,,,
itemLossOnExit,0.4,Chance each unbanked item is lost when exiting early.,,,
itemLossOnDefeat,0.9,Chance each unbanked item is lost on defeat.,,,
fogPeekHide,1.6,Fog at or above this hides a station's details from the map.,,,
startLineKeys,L1|L2,Line Keys the player begins with.,,,
affinitySlots,2,How many Emotional Affinities a player picks at creation.,,,
armorSlots,1,Emotional Armor pieces worn at once.,,,
startArmor,ARM_SCARS,The armor a new profile begins in.,,,
startSets,LO_ANGER|LO_SADNESS|LO_JOY,The Move Sets a new profile begins with.,,,
