"One row per PLACE, not per stop — an interchange is a single station several lines call at. `state` is the station's condition (blank = nothing special); it drives what the map shows and what happens to a player passing through, in either direction. x/y are schematic world units; the renderer squares every link to 45 degrees, so they only need to be roughly right.",,,,,,,,,,,,
id,name,lines,emotions,state,spawn,fog,threat,diltransience,x,y,enabled,notes
MUNTANER,Muntaner,L6,FEAR,,,,,,240,198,1,
LESSEPS,Lesseps,L3,DISGUST,,,,,,306,198,1,
GUINARDO_HOSPITAL_DE_SANT_PAU,Guinardó | Hospital de Sant Pau,L4,JOY,,,,,,414,198,1,
TORRAS_I_BAGES,Torras i Bages,L1,ANGER,,,,,,468,198,1,
CONGRES,Congrés,L5,SADNESS,,,,,,432,210,1,
SANT_GERVASI,Sant Gervasi,L6,FEAR,,,,,,258,216,1,
FONTANA,Fontana,L3,DISGUST,,,,,,306,216,1,
ALFONS_X,Alfons X,L4,JOY,,,,,,396,216,1,
SANT_ANDREU,Sant Andreu,L1,ANGER,,,,,,450,216,1,
ZONA_UNIVERSITARIA,Zona Universitària,L3,DISGUST,,,,,,72,234,1,
PALAU_REIAL,Palau Reial,L3,DISGUST,,,,,,90,234,1,
MARIA_CRISTINA,Maria Cristina,L3,DISGUST,,,,,,108,234,1,
GRACIA,Gràcia,L6,FEAR,,,,,,276,234,1,
DIAGONAL,Diagonal,L3|L5,DISGUST|SADNESS,,,,,,306,234,1,
JOANIC,Joanic,L4,JOY,,,,,,378,234,1,
FABRA_I_PUIG,Fabra i Puig,L1,ANGER,,,,,,432,234,1,
LES_CORTS,Les Corts,L3,DISGUST,,,,,,126,252,1,
PLACA_DEL_CENTRE,Plaça del Centre,L3,DISGUST,,,,,,144,252,1,
ENTENCA,Entença,L5,SADNESS,,,,,,216,252,1,
HOSPITAL_CLINIC,Hospital Clínic,L5,SADNESS,,,,,,252,252,1,
PROVENCA,Provença,L6,FEAR,,,,,,288,252,1,
GIRONA,Girona,L4,JOY,,,,,,330,252,1,
VERDAGUER,Verdaguer,L4|L5,JOY|SADNESS,,,,,,360,252,1,
SANT_PAU_DOS_DE_MAIG,Sant Pau | Dos de Maig,L5,SADNESS,,,,,,378,252,1,
CAMP_DE_L_ARPA,Camp de l'Arpa,L5,SADNESS,,,,,,396,252,1,
LA_SAGRERA,La Sagrera,L1|L5,ANGER|SADNESS,,,,,,414,252,1,
SANTS_ESTACIO,Sants Estació,L3|L5,DISGUST|SADNESS,,,,,,180,270,1,
PASSEIG_DE_GRACIA,Passeig de Gràcia,L2|L3|L4,SURPRISE|DISGUST|JOY,,,,,,306,270,1,
TETUAN,Tetuan,L2,SURPRISE,,,,,,324,270,1,
MONUMENTAL,Monumental,L2,SURPRISE,,,,,,342,270,1,
SAGRADA_FAMILIA,Sagrada Família,L2|L5,SURPRISE|SADNESS,,,,,,360,270,1,
ENCANTS,Encants,L2,SURPRISE,,,,,,378,270,1,
NAVAS,Navas,L1,ANGER,,,,,,396,270,1,
CORNELLA_CENTRE,Cornellà Centre,L5,SADNESS,,,,,,18,288,1,
GAVARRA,Gavarra,L5,SADNESS,,,,,,36,288,1,
SANT_ILDEFONS,Sant Ildefons,L5,SADNESS,,,,,,54,288,1,
CAN_BOIXERES,Can Boixeres,L5,SADNESS,,,,,,72,288,1,
CAN_VIDALET,Can Vidalet,L5,SADNESS,,,,,,90,288,1,
PUBILLA_CASES,Pubilla Cases,L5,SADNESS,,,,,,108,288,1,
COLLBLANC,Collblanc,L5,SADNESS,,,,,,126,288,1,
BADAL,Badal,L5,SADNESS,,,,,,162,288,1,
PLACA_DE_SANTS,Plaça de Sants,L1|L5,ANGER|SADNESS,,,,,,180,288,1,
HOSTAFRANCS,Hostafrancs,L1,ANGER,,,,,,198,288,1,
ESPANYA,Espanya,L1|L3,ANGER|DISGUST,,,,,,216,288,1,
ROCAFORT,Rocafort,L1,ANGER,,,,,,234,288,1,
URGELL,Urgell,L1,ANGER,,,,,,252,288,1,
UNIVERSITAT,Universitat,L1|L2,ANGER|SURPRISE,,,,,,270,288,1,
CATALUNYA,Catalunya,L1|L3|L6,ANGER|DISGUST|FEAR,,,,,,288,288,1,
URQUINAONA,Urquinaona,L1|L4,ANGER|JOY,,,,,,306,288,1,
ARC_DE_TRIOMF,Arc de Triomf,L1,ANGER,,,,,,324,288,1,
MARINA,Marina,L1,ANGER,,,,,,342,288,1,
GLORIES,Glòries,L1,ANGER,,,,,,360,288,1,
CLOT,Clot,L1|L2,ANGER|SURPRISE,,,,,,378,288,1,
BAC_DE_RODA,Bac de Roda,L2,SURPRISE,,,,,,396,288,1,
SANT_MARTI,Sant Martí,L2,SURPRISE,,,,,,414,288,1,
LA_PAU,La Pau,L2|L4,SURPRISE|JOY,,,,,,432,288,1,
VERNEDA,Verneda,L2,SURPRISE,,,,,,450,288,1,
ARTIGUES_SANT_ADRIA,Artigues | Sant Adrià,L2,SURPRISE,,,,,,468,288,1,
SANT_ROC,Sant Roc,L2,SURPRISE,,,,,,486,288,1,
GORG,Gorg,L2,SURPRISE,,,,,,504,288,1,
PEP_VENTURA,Pep Ventura,L2,SURPRISE,,,,,,522,288,1,
BADALONA_POMPEU_FABRA,Badalona Pompeu Fabra,L2,SURPRISE,,,,,,540,288,1,
MERCAT_NOU,Mercat Nou,L1,ANGER,,,,,,162,306,1,
BESOS,Besòs,L4,JOY,,,,,,450,306,1,
POBLE_SEC,Poble Sec,L3,DISGUST,,,,,,216,312,1,
SANT_ANTONI,Sant Antoni,L2,SURPRISE,,,,,,252,312,1,
LICEU,Liceu,L3,DISGUST,,,,,,288,312,1,
JAUME_I,Jaume I,L4,JOY,,,,,,306,312,1,
SANTA_EULALIA,Santa Eulàlia,L1,ANGER,,,,,,144,324,1,
PARAL_LEL,Paral·lel,L2|L3,SURPRISE|DISGUST,,,,,,234,330,1,
DRASSANES,Drassanes,L3,DISGUST,,,,,,270,330,1,
BARCELONETA,Barceloneta,L4,JOY,,,,,,324,330,1,
CIUTADELLA_VILA_OLIMPICA,Ciutadella | Vila Olímpica,L4,JOY,,,,,,342,330,1,
BOGATELL,Bogatell,L4,JOY,,,,,,360,330,1,
LLACUNA,Llacuna,L4,JOY,,,,,,378,330,1,
POBLENOU,Poblenou,L4,JOY,,,,,,396,330,1,
SELVA_DE_MAR,Selva de Mar,L4,JOY,,,,,,414,330,1,
EL_MARESME_FORUM,El Maresme | Fòrum,L4,JOY,,,,,,432,330,1,
BESOS_MAR,Besòs Mar,L4,JOY,,,,,,450,330,1,
HOSPITAL_DE_BELLVITGE,Hospital de Bellvitge,L1,ANGER,,,,,,18,342,1,
BELLVITGE,Bellvitge,L1,ANGER,,,,,,36,342,1,
L_HOSPITALET_AV_CARRILET,L'Hospitalet | Av. Carrilet,L1,ANGER,,,,,,54,342,1,
RAMBLA_JUST_OLIVERAS,Rambla Just Oliveras,L1,ANGER,,,,,,72,342,1,
CAN_SERRA,Can Serra,L1,ANGER,,,,,,90,342,1,
FLORIDA,Florida,L1,ANGER,,,,,,108,342,1,
TORRASSA,Torrassa,L1,ANGER,,,,,,126,342,1,
