Emotion,Persona,State,Dialogue Line
Disgust,The Mirror,Intro,"I see the track marks under your sleeves. You're rotting from the inside, just like me."
Disgust,The Mirror,Winning,We belong in the gutter. Accept it.
Disgust,The Mirror,Losing,Don't look at me with pity!
Disgust,The Mirror,Defeat,Just... one more hit to make it stop...
Sadness,The Left Behind,Intro,No. Dad didn't leave. Dad loves me... Loved me?
Sadness,The Left Behind,Winning,I'll make you stay! Nobody leaves me again!
Sadness,The Left Behind,Losing,Did I do something wrong?
Sadness,The Left Behind,Defeat,I'll be good... I promise I'll be good...
Sadness,The Isolated,Intro,The hospital called. Nobody came to claim his things. Am I next?
Sadness,The Isolated,Winning,If you stay down... it hurts less. I promise.
Sadness,The Isolated,Losing,Why does everyone walk away?
Sadness,The Isolated,Defeat,Finally... it's quiet.
Sadness,The Erased,Intro,My grandfather built this bar. Now it's a fucking brunch spot... I have nothing.
Sadness,The Erased,Winning,Drink the bitterness. It's all we have left.
Sadness,The Erased,Losing,They're painting over the mural...
Sadness,The Erased,Defeat,I don't recognize my own street.
Sadness,The Grieving,Intro,The sea was supposed to be calm... they promised it was safe to cross...
Sadness,The Grieving,Winning,Drown with me! Drown with my memories!
Sadness,The Grieving,Losing,I can't hold on to the raft...
Sadness,The Grieving,Defeat,The water is so cold...
Sadness,The Broken Dream,Intro,Ten years playing in the metro... nobody even looks up anymore.
Sadness,The Broken Dream,Winning,LISTEN TO ME! FOR ONCE IN YOUR LIFE!
Sadness,The Broken Dream,Losing,My strings are snapping...
Sadness,The Broken Dream,Defeat,Silence... just like always.
Fear,The Hunted,Intro,"Shhhh shhhhhhhhh! Those transphobes behind the corner, they'll notice us, move back slowly... oh no OH NO"
Fear,The Hunted,Winning,STAY BACK! I HAVE A KNIFE!
Fear,The Hunted,Losing,"Please, I just want to walk home..."
Fear,The Hunted,Defeat,Not again... please not again...
Fear,The Paranoid,Intro,The cameras on the streetlights—they track our heartbeats. Don't let them see you panic!
Fear,The Paranoid,Winning,I'll blind them! I'LL BLIND THE WHOLE CITY!
Fear,The Paranoid,Losing,They're zooming in... they know my name...
Fear,The Paranoid,Defeat,Erase my... search history...
Fear,The Debt-Ridden,Intro,"I have the money, I swear! Just give me till Friday!"
Fear,The Debt-Ridden,Winning,I'll take yours! I'll pay them with your blood!
Fear,The Debt-Ridden,Losing,They're going to break my hands...
Fear,The Debt-Ridden,Defeat,Tell my mother... I'm sorry...
Fear,The Trapped,Intro,He said he wouldn't hit me again if I just stayed quiet...
Fear,The Trapped,Winning,Don't make him angry! Just do what he says!
Fear,The Trapped,Losing,He's coming up the stairs... I can hear his keys...
Fear,The Trapped,Defeat,It was always going to end like this...
Fear,The Night-Walker,Intro,Footsteps. Stop. Footsteps. Why are they matching my pace?
Fear,The Night-Walker,Winning,I'll run! You can't catch me in the dark!
Fear,The Night-Walker,Losing,The streetlights are all broken here...
Fear,The Night-Walker,Defeat,Nobody can hear me scream...
Joy,The Delusional,Intro,Life is MINE and this street is MY world to strut by and BLIND YOU WITH MY LIGHT
Joy,The Delusional,Winning,Bask in my glory! I am untouched by sorrow!
Joy,The Delusional,Losing,Wait... why is everyone looking at me like that?
Joy,The Delusional,Defeat,The spotlight... it's fading...
Joy,The Substance Abuser,Intro,"Another pill, another party! The sun never sets in Raval if your eyes are wide enough!"
Joy,The Substance Abuser,Winning,DANCE WITH ME! WHY AREN'T YOU DANCING?!
Joy,The Substance Abuser,Losing,"No, no, the comedown... I can't feel my teeth..."
Joy,The Substance Abuser,Defeat,It's so dark... where did the music go?
Joy,The Cultist,Intro,We are all just vibrations! I have transcended this fleshy prison!
Joy,The Cultist,Winning,Let me cleanse your aura... WITH FIRE!
Joy,The Cultist,Losing,My chakras... they are bleeding...
Joy,The Cultist,Defeat,The universe... lied to me...
Joy,The Influencer,Intro,"A million followers, baby! Look at this view, look at this life!"
Joy,The Influencer,Winning,"SMILE FOR THE CAMERA, TRASH!"
Joy,The Influencer,Losing,I'm losing sponsors... I'm losing relevance...
Joy,The Influencer,Defeat,Did anybody... even like... the post?
Joy,The Pyromaniac,Intro,Look at how pretty the flames are on the dumpsters! It's art!
Joy,The Pyromaniac,Winning,BURN! EVERYTHING LOOKS BETTER IN RED!
Joy,The Pyromaniac,Losing,The smoke... I can't breathe...
Joy,The Pyromaniac,Defeat,"Just embers... cold, dead embers..."
Surprise,The Betrayed,Intro,"Yesss YESSSS give me that sweet sweet nectar GIVE IT... wait, what did you just inject me with?"
Surprise,The Betrayed,Winning,I'LL TEAR THE POISON OUT OF YOUR CHEST!
Surprise,The Betrayed,Losing,My heart... it's beating too fast...
Surprise,The Betrayed,Defeat,You... you killed me...
Surprise,The Accident,Intro,The light was green! I swear on my mother's life the light was green!
Surprise,The Accident,Winning,"You see it too, right? The glass in my hair?"
Surprise,The Accident,Losing,Why is the steering wheel bending like that?
Surprise,The Accident,Defeat,I can't... feel my legs...
Surprise,The Diagnosis,Intro,"Six months? You're joking, right? I ran a marathon yesterday..."
Surprise,The Diagnosis,Winning,I'M NOT SICK! LOOK AT HOW STRONG I AM!
Surprise,The Diagnosis,Losing,Why am I coughing blood...?
Surprise,The Diagnosis,Defeat,I don't have enough time...
Surprise,The Raid,Intro,"They're breaking down the door! Throw it in the toilet, NOW!"
Surprise,The Raid,Winning,"YOU'LL NEVER TAKE ME ALIVE, PIGS!"
Surprise,The Raid,Losing,The window... it's too high up...
Surprise,The Raid,Defeat,Handcuffs... so cold...
Surprise,The Ghost,Intro,Why won't anybody look at me? I've been screaming on this platform for hours...
Surprise,The Ghost,Winning,FEEL ME! FEEL MY COLD HANDS!
Surprise,The Ghost,Losing,My reflection... I don't have a reflection...
Surprise,The Ghost,Defeat,I died... I died under the metro...
